album_id,album_name
002H8sA77XFikjH4kbPaph,Polyester Embassy
006Qsi10luS9xEBAcIWGTf,All Your Fault: Pt. 2
009d83fu2guwouIwqr7i9E,Married In Vegas
00dyKMXDH41ceeiMP21ACu,I Cry When I Laugh
00eiw4KOJZ7eC3NBEpmH4C,Simply the Best
00EZ3edHfcpcHJpRl3QcQX,Monsters (feat. Demi Lovato and blackbear)
00fdw3tBe9l8qRBIm6Y1Ei,Greatest Hits
00MnUtAkDl3y4WwvQKK94E,Self Control
00NABajpGsPCObfcl4LJsM,I Made It (Cash Money Heroes) [Explicit Version]
00QRaEtUaplb5qxN62o9vd,Affirmation
00Rp3j7mKM3qZXkvF9iWcy,Eagles (2013 Remaster)
00tUXbwwa6LigkT63sGXSR,All the Best
00XMrHZoOsYLmiyx890axX,Motivation
00YG3A90dcHC38yhRPl8Ay,No Jacket Required (2016 Remaster)
010ZuyybZC9uyh1uInGxyK,ORA
014iVuewM9Vd09Yew27dDv,All I Ask
0155ANNJ1l9yLMVIHBs22L,Cassie (U.S. Version)
01aFGqmSsvqRzTQo4GJhg6,Hangin' Tough
01GR4NL5O5CZM51k0aejKD,Stereosonic Festival Anthems 2013
01hp4DvayKlnqUQrmk0vvz,25 All-Time Greatest Hits
01iw3ZO4AQKvvIjXq5wPEL,Springwater
01KB6ccwWZ1iVufgXMoOuX,Seizures
01l3jTY261V3CESZR4dABz,Hits
01NhUvviMytvV12pmJiDZH,Angel of the Morning
01OahkTPRCleDjobtRk7ST,Be Mine
01RDRSabinKcm0bjdo3tJw,Love Me Harder
01RkRLNlP4C4aYCCzT3VRm,Colour By Numbers (Remastered / Expanded Edition)
01sfgrNbnnPUEyz6GZYlt9,Classic Brenda Lee - The Universal Masters Collection
01xiIydpf1MyOg7DWDRF2N,I'll Cry If I Want To
01zS3oMfUniMmX7qhTFW4s,My Beautiful Dark Twisted Fantasy
021pXDAIuTIb2ADbS6VjbC,Stop And Smell The Roses
022DrG7Wp2PSCwzuD0bSzT,Abracadabra
023KmMyB2DNZR3V8YKoET9,All That You Can't Leave Behind
029WUoBjWc7Js1QiPH3mw0,Go!! Records the Complete Collection
02abrECBsxdR3Ywjy1hCuW,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)
02ae5i5UAoFrt2peVox9Xd,Greatest Hits (Original Recordings)
02ATSOBqF7ddYG1248wCgH,"Capital Letters [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]"
02BQFiWcFYKb5iJIKVpPap,Live At Leeds (Expanded Edition)
02CxAhdSRhzcm6XQ8m5RNp,Passage
02drHFQa59AoJWU6DXSSjd,In A Perfect World...
02ez6TRQvxsxdA2LaCK5BU,Best Seat In The House
02f3y3NTsddjdUMoNiBppI,High Voltage
02h9kO2oLKnLtycgbElKsw,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix)
02HZQsjbPH9XjYbgKjXMwO,Anytime
02jqf49ws9bcTvXLPGtjbT,Get Close (Expanded & Remastered)
02pi98kE0nra0yBqCStzbC,...Baby One More Time (Digital Deluxe Version)
02sEJTj1sye1JaqxqpcSCp,Come On Over
02SQS3hERbgOjnZc0hmWKk,Ella Mai
02tfQwJSOLP77oCd9U8bqm,Loc-ed After Dark (Expanded Edition)
02tTjKlh9iQ5jlWYPbKLJZ,Mack Daddy
02UT6tTcqWjnyPwFZrupKb,Carpenters
031Opw10ZrHaGAoKVgyHEA,ORA
032ovDTHUzM5tWZeFqPPEA,Actually: Further Listening 1987-1988
033cvSPAuSU5ArRfIgQSDU,Science & Faith
03DEjGUwbiBvigvwG2EoP8,Electric Warrior (Deluxe Edition)
