artist_id,artist_name
006j2rer9tZJCYniu7SaWS,Peach PRC
00bFgWuCaaFrjC9xylIcMf,Ben Liebrand
00FQb4jTyendYWaN8pK0wa,Lana Del Rey
00FrqfQ1NB4Dlr10yUP4Hr,Kokomo
00IBJsix9OYvxpmk8k0p86,Benjamin Joseph
00Ja3YjvU4DYCHWt6cPs42,Jolyon Petch
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult
01e2lCvLZ4fLUIRy68nptH,Wankelmut
01HH0MeCU5B1FXwt2EyZlh,Area-7
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells
01lz5VBfkMFDteSA9pKJuP,The Click Five
01pKrlgPJhm5dB4lneYAqS,Sigma
01Ppu7N8uYJI8SAONo2YZA,Melissa Etheridge
01PZH8MrTxfgfTXNqpMRjG,Hank Ballard & The Midnighters
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco
01U4snBkRWq0FBrK3P1mwM,Frankee
01WjpKiWVNurV5hjIadB8C,Filter
022EiWsch2zvty0qBUksDO,Liam Bailey
023YMawCG3OvACmRjWxLWC,The Cat Empire
02A3cEvlLLCbIMVDrK2GHV,Starley
02da1vDJ2hWqfK7aJL6SJm,Soul Asylum
02JTFUpX3CgLWXNKEXIvcb,Public Announcement
02kJSzxNuaWGqwubyUba0Z,G-Eazy
02qlwM8fpqep7vX8KKEFmK,LA Vision
02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats
02Xpf8IlAGeelWAQZP33kQ,Boy Meets Girl
03hfAxVdAWj7kxDnSG0fLD,The Shadows
03O1y1yKpBpmUbcTtoya3K,Bobby Anthony
03r4iKL2g2442PT9n2UKsx,Beastie Boys
03wx6Q0Osk88eyEyZjCk6e,Absolutely Fabulous
041iTeoMIwXMlShuQPIVKo,Klangkarussell
04abdnqPQe2N4fjztDea6z,Austin Mahone
04gDigrS5kc9YWfZHwBETP,Maroon 5
04HvbIwBccFmRie5ATX4ft,Yeasayer
04LIHk1SobiQwt2tlupoAV,Leo Sayer
04qi4CymYf3E50Mt2na4QS,Grinspoon
052sD9jNgGqNAKlYmCAiD8,The Village Stompers
0543y7yrvny4KymoaneT4W,Peter Frampton
057gc1fxmJ2vkctjQJ7Tal,The Buggles
05JF2urTunljp953SopuXc,Little Sea
05oH07COxkXKIMt6mIPRee,Brandy
05RZIdfz59ZW2FvFuwnmNK,K-Ci & JoJo
05sIdEkXAYDbDDdv3T56Oj,The Chiffons
05sRO4JdAtJGyZQOTb6kSL,Sam The Sham & The Pharaohs
05STafdfQBBQIV9duONwod,Children Collide
05xxLdPO9nWAK3O3rH8Mvw,Zaheer
05yQvTxOQFpKKYDKKuBKYP,Grafton Primary
063AxhAs6zx8UYdPahb5Gi,Jo Jo Zep and The Falcons
066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem
06BtvGNmAV9RjsbXPTTcXb,Fiddler's Dram
06eBN3VHAkzsUjtIYSztqj,Freedom Under XRay
06HL4z0CvFAxyc27GXpf02,Taylor Swift
06kr5yNAM2rOf4DXemM8fl,Matt Monro
06nsZ3qSOYZ2hPVIMcr1IN,J.J. Cale
06y1hH4hu3rcTUXHJevPCf,Ben Lee
0701Axu6yvUIoctaKMbDIZ,Freda Payne
07jJQhIBd8ZqVUdgiwPqdQ,Alias
07lgEPGfoA4Lqos6YGYPDU,Ricki-Lee
07PipPbqSffwUKRCQ5AcC6,Tom Clay
07Q9n9pbwR6jQ8xH4SA46b,Justice Crew
07QEuhtrNmmZ0zEcqE9SF6,Owl City
07W0YfsvHM7Mw7Bq48Mb0A,Murphy Lee
07XSN3sPlIlB2L2XNcTwJw,KISS
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
085pc2PYOi8bGKj0PNjekA,will.i.am
086Atz206AEeIFXOfwFPSn,These Kids Wear Crowns
089zDeJWWSaHm6JE4V3ser,Moving Pictures
08b2PA6eFyugsWAk41eQKZ,Lesley Gore
08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish
08dazMCiWeKkomvpDLSetA,City Boy
08dJ0NJ9jMf8qdLmdhQ2yA,The Supermen Lovers
08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens
08fM8wx6uuEwagFsUvQp35,Portrait
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
08GxOlfbIid2OSANVKECHb,The Allniters
08MVPakTEdRJimQNV61NFR,Freedom Williams
08rMCq2ek1YjdDBsCPVH2s,Amerie
08tQwub0ulYRq9dRBKVS1r,DBX
08umUXhtQEChP8ode5a978,Sophie Monk
08xBftDfAD7CMC51uxUuZF,The First National Band
090VebphoycdEyH165iMqc,Shirley Bassey
09ao6AC5gW8AxRBUVkqWIB,Alexia
09C0xjtosNAIXP36wTnWxd,Fats Domino
09dDdtfi4mWLdC2BHOrIrl,Terry Jacks
09dzhikZDQAWGs8jyIylqj,Gramma Funk
09efpf4ONuA3Ezctd8lXza,Susan Raye
09kCHZp9iFO2FJNb9lR6G5,Megan Davies
09L3cUdx0hq6qn5bKuJJ4I,Herb Alpert & The Tijuana Brass
09LlecobtUel9NZrpJnHVr,The Crooklyn Clan
09NEIWHdaWneBWsjYdDnwz,Custard
09NYzWfQlunWS3XBZFaDEC,Andy Black
09v1n02OCBEntKxrSTw1L1,T-Shirt
0a1BmEq1mZ5ufKMC2fsziR,The Tymes
0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts
0AEbDFXbsssoSoC3pj91eq,Room 5
0aeLcja6hKzb7Uz2ou7ulP,Noah And The Whale
0AfDBW6x1y3cJ7U8wSasVM,Roger Voudouris
0afemm9P2Bb2LL99xHY32n,Bernard Fanning
0aHcdeP3SwSYZsCtUbvSf7,Joanne
0AIj40Eh5327K0Ywz7upNG,The Jaynetts
0aIOdrjH5s3hJqxmKoAEUg,Richard O'Brien
0AkpPlFLnr0VQwZQeMGht0,Modjo
0AluwN4mocA305JLqpZytD,James Blundell
0AOfW8WQA50p9xVrK58lDz,Little Cesar & The Romans
0aRJShMkUsHVCyCw5Klxj3,Do Re Mi
0AunegKKH2ys98aLxq8G1A,Avant
0AuW7OCyKfFrsMbtHrYgIV,House Of Pain
0auxGqduSBWubpKjjSNKLr,Doctor & The Medics
0AWhixY9hX7LEPyPMjh4O0,Grandmaster Melle Mel
0awl5piYwO0CDTHEkCjUhn,Nico & Vinz
0b56YzqAu22jh2CDUYvbbx,Nick Skitz
0b9n4vhaTCuL23DoRJ1XHj,Ernie Maresca
0bByarMN8ryEFQsRo6iCUN,Glenn Medeiros
0bdfiayQAKewqEvaU6rXCv,MØ
0bdiA8CQ7jEBx4KmQOvr9z,Visnadi
