id,name,image,preview,duration,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,chord,published
7Al0ADUt8SCPiQIBbTcNdR,Spin the Black Circle - Remastered,https://i.scdn.co/image/ab67616d0000b273f0f6b8bc425633e6ed6369c4,https://p.scdn.co/mp3-preview/c94ec7b5c50d9f09c825003fbc24a13cb630632d?cid=9950ac751e34487dbbe027c4fd7f8e99,167613,0,49,0.236,0.99,-4.719,0.095,0.00063,0.0586,0.407,0.141,217.913,2,1994-11-22
1ru7HnyTXzFsY2rq7H2jzt,Bless My Soul,https://i.scdn.co/image/ab67616d0000b2734e29b1f639d844edcf7d5eb7,,246320,0,0,0.135,0.968,-3.811,0.147,0.0000482,0.000015,0.284,0.275,215.537,8,2004-01-01
2pA1xHmhDxle8pPhhIaWCp,"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",https://i.scdn.co/image/ab67616d0000b273925e89f60b7f808988d94e15,,169840,0,0,0.55,0.622,-11.304,0.114,0.324,0.00247,0.12,0.868,213.654,0,1998-01-01
2NoaaRL9Pe8scI91PJ3PD5,Buttons - Final Edit Version,https://i.scdn.co/image/ab67616d0000b2739d0b59312ed29095a86ef185,,233186,0,0,0.478,0.829,-4.222,0.378,0.206,0,0.255,0.506,210.796,11,2006-01-01
5AO8v8yr6eXj0zA9vNlKJk,Buttons - Final Edit Version,https://i.scdn.co/image/ab67616d0000b273e86e961e9d12396bbc11e06d,https://p.scdn.co/mp3-preview/fd84fba1a1c0614e2b31bd12bd5b4eb5a61522dd?cid=9950ac751e34487dbbe027c4fd7f8e99,232160,0,49,0.499,0.814,-4.235,0.343,0.222,0,0.357,0.535,210.78,2,2006-01-01
0qst32xWAUil1sesV21uWl,Fred Astaire,https://i.scdn.co/image/ab67616d0000b273b6736af54c4811da9b992633,https://p.scdn.co/mp3-preview/468d6d860830659b44dab37cb245d0290a241264?cid=9950ac751e34487dbbe027c4fd7f8e99,175986,0,46,0.408,0.676,-6.073,0.0771,0.0301,0,0.0684,0.644,209.591,6,2012-11-23
1Qrdlkgg9I4J7r3P4kZNwr,Missing You,https://i.scdn.co/image/ab67616d0000b273f7730f46da78d52e66bd6f65,https://p.scdn.co/mp3-preview/7f98fac8de52abb07b4996c4058299c9d5219deb?cid=9950ac751e34487dbbe027c4fd7f8e99,269760,0,74,0.552,0.552,-9.736,0.0364,0.052,0,0.046,0.593,208.571,11,1984-01-01
12q3V8ShACq2PSWINMc2rC,It's Too Late,https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5,https://p.scdn.co/mp3-preview/65a393c68256deeac86336dbba44691fee268702?cid=9950ac751e34487dbbe027c4fd7f8e99,233173,0,72,0.45,0.442,-12.718,0.0353,0.493,0.00564,0.134,0.812,208.282,9,1971
5EqQMKUPY0urqvM7oUJohu,Ring Ring Ring,https://i.scdn.co/image/ab67616d0000b273786f84bc75887df1b28c795e,,247240,0,0,0.511,0.787,-9.11,0.371,0.404,0,0.408,0.654,207.966,5,1999-07-28
6V4y4uuMAxe2EYDIWNToaH,Pictures Of You,https://i.scdn.co/image/ab67616d0000b273d447e2c9f6a50202f76797eb,https://p.scdn.co/mp3-preview/9643416803fa01850e02f85452ab15fb0771b98f?cid=9950ac751e34487dbbe027c4fd7f8e99,190173,0,55,0.325,0.816,-3.714,0.0633,0.165,0,0.0729,0.579,207.673,2,2007-01-01
0ZUjPkZKjzRi6bgIuJovfY,How Can We Be Lovers,https://i.scdn.co/image/ab67616d0000b273e29b51efdf81e17c63880ef0,https://p.scdn.co/mp3-preview/e09a7628f701828fe551bc4811dff5186e028822?cid=9950ac751e34487dbbe027c4fd7f8e99,235626,0,57,0.399,0.708,-10.541,0.0387,0.118,0,0.179,0.688,207.424,0,1989-06-27
4feXcsElKIVsGwkbnTHAfV,Somethin' Stupid,https://i.scdn.co/image/ab67616d0000b2733e2331ff09f59ea3c87fe5d6,https://p.scdn.co/mp3-preview/a82a1c7a9ef51533572f492831d154eac8f23b3a?cid=9950ac751e34487dbbe027c4fd7f8e99,162493,0,76,0.257,0.338,-12.902,0.0357,0.736,0,0.252,0.544,207.356,4,1967-08
4jrEJvfSn7kJcZR4oD7VGo,I Hear You Knocking,https://i.scdn.co/image/ab67616d0000b273bc10b4d35eaf9e5c33090cbb,https://p.scdn.co/mp3-preview/79e119cb5f559d5e7a46d92840ee711e71195570?cid=9950ac751e34487dbbe027c4fd7f8e99,167786,0,41,0.528,0.445,-12.075,0.0482,0.0198,0.000384,0.0766,0.97,206.361,6,2005-07-04
6hnCx2jmD0RPkbtzUXSBn4,"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",https://i.scdn.co/image/ab67616d0000b273bbf0089563c42c7710b7ca2f,https://p.scdn.co/mp3-preview/c5f48857eb67b972dcabdfa3f316edc7a88fe640?cid=9950ac751e34487dbbe027c4fd7f8e99,223666,0,53,0.338,0.887,-8.873,0.0438,0.00962,0.011,0.556,0.399,206.255,2,2004-03-02
6gtg5a7wYlQjy7n593D6dx,Guantanamera,https://i.scdn.co/image/ab67616d0000b273b62d1d5337954875f6b491c6,https://p.scdn.co/mp3-preview/10fce34568845cb62c42b76e68cb875bca7a54ee?cid=9950ac751e34487dbbe027c4fd7f8e99,194933,0,44,0.318,0.257,-15.879,0.0404,0.82,0.0032,0.106,0.648,205.852,2,1966
78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,https://i.scdn.co/image/ab67616d0000b27336a9ed72b45e54ff307641be,https://p.scdn.co/mp3-preview/6fdd4470dabeaf54e72b566a4f8f2d064236927f?cid=9950ac751e34487dbbe027c4fd7f8e99,188238,0,81,0.582,0.272,-5.662,0.0501,0.875,0,0.13,0.354,205.846,2,2015-01-24
3R47BVunpwXhQbLWrClD94,Lights,https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8,https://p.scdn.co/mp3-preview/ff29338c2027f4bb5f35d9090d50a7940f56d330?cid=9950ac751e34487dbbe027c4fd7f8e99,190666,0,45,0.188,0.61,-7.665,0.0453,0.0985,0.00141,0.278,0.411,205.586,7,2001-10-16
